"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Gambia, The","GMB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","71","","269","300","300","350","437","500","438","2743","3573","3750","4000","4433","5000","5000","5000","5690","","",
"Guinea-Bissau","GNB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","1000","1203","1452","1395","1051","886","853","1204","1227","2383","3303","4615","6685","",
"Equatorial Guinea","GNQ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","180","180","1186","1346","1480","3518","3881","3799","3382","1897","1620","1000","1843","1718","1816","","",
"Greece","GRC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10476","51455","160113","488180","1017480","1507000","1916630","2252650","2464280","2689430","2913190","3156070","3439030","3615030","3778270","3961860","4111280","4257030","4435090","4469350","4491920","",
"Grenada","GRD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563","","609","3222","5544","7600","8954","12371","14437","14674","16000","18000","18811","19757","20821","22235","26987","31787","31952","30476","34802","","",
"Greenland","GRL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","3320","7128","9216","10547","12013","12540","12390","11891","11380","10800","10400","10000","","12183","13492","14638","15657","16781","17908","","",
"Guatemala","GTM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27106","39000","57000","94500","156000","259000","","280302","352826","433734","459847","506000","531000","","585000","612000","612000","896747","920892","",
"Guam","GUM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","","","","","","2700","2700","3000","3000","","","3000","3000","","","","","3000","3000","3000","3038","","",
"Guyana","GUY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","2362","5084","6823","11193","20540","29981","36900","45225","53687","57203","64889","","83000","95000","95000","106284","","",
"High income","HIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404800000","418400000","435400000","447000000","459200000","479000000","497000000","510000000","523000000","536000000",
"Hong Kong SAR, China","HKG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11000","86500","444450","716435","1039000","1267970","1517740","1659100","1796240","1898930","1935490","2053370","2167710","2299000","2255040","2235220","2281280","2347830","2626030","2658070","2714680","2804790","2885590","2935380","2982770","2968460","",
"Honduras","HND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","57290","61277","68991","157852","197379","220386","238291","354861","390377","396916","421457","461436","464342","",
"Heavily indebted poor countries (HIPC)","HPC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111109","211330","322515","382179","483868","678768","909327","1261929","1729695","1974106","2812846","2889526","3162916","4162376","5192103","5783135","4957870","","",
"Croatia","HRV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3400","26200","116200","251800","387050","527989","717354","837862","892835","919222","954720","984485","986215","1043800","1095880","1127590","1154770","1030970","1048490","1080710","1109240","",
"Haiti","HTI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1348","1348","29900","31100","31100","31000","31000","35292","","",
"Hungary","HUN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3400","31384","111458","264311","411111","651689","1199190","1454510","1770570","1976720","2159420","2313090","2396040","2597160","2580540","2718790","2814520","2956590","3079550","3189690","3265310","3382140","3538050","3563670","",
"IBRD only","IBD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1054866","5198903","15069209","34387251","54129393","81040550","114969257","152996284","194761253","234822449","285781650","322908550","351738068","375674777","467200000","527100000","621000000","652900000","712000000","777000000","859000000","935000000","999000000","1058000000",
"IDA & IBRD total","IBT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5210160","15096636","34456333","54274490","81288339","115525232","153912436","196463754","237359292","289212848","327447865","358217912","385557120","480500000","545000000","641300000","675800000","735700000","806000000","893000000","974000000","1044000000","1106000000",
"IDA total","IDA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145097","","555975","916152","1702501","2536843","3431198","4539315","6479844","9882343","13200000","17900000","20400000","22900000","23700000","29000000","34000000","39000000","45000000","49000000",
"IDA blend","IDB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69407","","206027","397093","717011","1166900","","2012414","2271052","3249494","4100000","6200000","6800000","7500000","6900000","10000000","13000000","15000000","17000000","20000000",
"Indonesia","IDN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","15000","38300","61600","84900","108200","194367","778770","981562","1863820","2280320","2736380","2983000","3251800","3400000","3983000","5227390","6215920","8874120","10284400","10800100","12419400","13443900","13543900","",
"IDA only","IDX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349948","519059","985490","1369943","1889045","2526901","4208792","6632849","9200000","11700000","13600000","15400000","16800000","19000000","21000000","24000000","27000000","29000000",
"Isle of Man","IMN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000","82409","140362","235000","1348000","2300000","3130000","5280000","7745710","10990000","13351200","14982200","14927700","15750000","16942800","18653300","17856000","18170000","19156600","22950000","27560000","33530500","39480000","",
"Not classified","INX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10600","41800","152100","322500","561700","758722","891243","976381","1019960","1070780","1112080","1189210","1258760","1309470","1360200","1398800","1430160","1462550","1516470","1577000","1611510","1657260","",
"Iran, Islamic Rep.","IRN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","661","16171","18700","","","100000","200000","300000","400000","987549","2119710","3803690","5161160","6145220","6608660","7608560","8599950","9806750","8626180","9564200","10674900","10931100","10891700","",
"Iraq","IRQ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","98","54","121","3117","","","","","","","4291910","4492330","4559050","6254100","6386390","6386390","7766830","",
"Iceland","ISL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","2358","10424","24270","41571","55764","78017","87738","100026","106017","107072","109212","111584","113420","117467","119647","124436","128023","134624","137989","139241","141816","143124","142334","145042","",
"Israel","ISR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43865","231663","633100","980000","1229630","1421000","1528500","1684000","1723000","1762000","1879030","1937000","2003000","2131000","2173000","2258000","2342000","2435000","2480950","2602080","2656750","2655180","2724660","",
"Italy","ITA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115000","390000","850000","2250000","4724500","6822210","8497420","10122100","11276300","12084500","13098000","13518700","13763400","14013000","14382500","14900200","15563300","16586400","17157900","17470500","18128800","18686500","18596000","18945300","",
"Jamaica","JAM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3235","9000","9000","27000","45000","68243","92768","97323","112201","116685","118269","123046","140816","151554","228890","286068","239120","284756","317907","385603","413500","424741","448266","",
"Jordan","JOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","409","3177","4996","10424","23551","48622","88818","145838","237996","293276","296612","300294","328382","351783","309726","297324","331925","399596","457496","630545","714750","796229","805034","",
"Japan","JPN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","216000","854655","3835000","9397430","14917200","19557100","23301100","26438900","28303000","30117700","32863200","34101800","35696200","36132400","36918700","37788900","38872600","39805600","40532500","41496300","42502500","44000800","45168100","46050900","48046000","",
"Kazakhstan","KAZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998","1997","2996","30500","270370","337300","577344","869600","1193400","1637300","1958820","2148000","2301000","2349900","2576100","2461300","2512600","2620400","2753600","2899800","2916490","",
"Kenya","KEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5399","17723","17737","3282","18200","6866","54144","54348","74144","101813","135107","132702","288303","371498","491183","674191","788996","801021","1321950","",
"Kyrgyz Republic","KGZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","139","1907","2292","2762","3115","19032","17355","23053","39040","54614","136200","170706","211521","240873","258013","250612","269091","289000","302323","389861","455996","",
"Cambodia","KHM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","419","780","1000","2900","8450","16594","30000","35666","22000","29734","32648","66111","83504","97641","133633","166200","184379","233772","336243","509830","634546","",
"Kiribati","KIR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322","402","504","685","765","846","850","800","700","500","117","110","111","87","105","185","111","90","53","",
"St. Kitts and Nevis","KNA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","2000","4400","6500","8800","9600","11104","13000","14600","12600","13000","13300","14018","16376","14178","29272","16381","20379","21540","20120","21834","","",
"Korea, Rep.","KOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","278000","3870000","7818020","10405500","11178500","11921400","12190700","14042700","14710000","15474900","16348600","17194300","17859500","18252700","18737500","19198900","20024400","20555700","21195900","21285900","21761800","22327200","22944300","23537300","24098200","",
"Kuwait","KWT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","10500","13000","20000","25000","30000","35000","40000","45000","46000","47000","47000","47000","48000","55000","101390","117719","103821","84595","73948","70464","62568","49049","",
"Latin America & Caribbean (excluding high income)","LAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125880","497926","1217393","1894207","5274482","7053478","10959800","17214871","24174506","29304024","34189800","40788819","45670709","49989754","54419917","59264966","63392441","68318078","73447526","77930829","87000000","96000000","103000000","108000000","115000000",
"Lao PDR","LAO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","50","314","741","1135","2896","4317","5885","6546","7578","9025","16119","14550","24426","27217","45379","76280","122842","150755","180045","208504","",
"Lebanon","LBN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","50000","100000","197000","331089","402329","476185","480000","1132140","","","","","420000","432070","432070","418869","","",
"Liberia","LBR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","150","186","63","524","5080","6000","7000","8000","9000","","11000","13000","13000","14759","","",
"Libya","LBY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46242","63000","72800","70000","67300","64700","62800","61000","168920","318000","","318000","332000","332000","326401","","",
"St. Lucia","LCA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400","3800","7000","7176","11078","15527","18586","20491","21340","24573","24704","28199","28426","29786","31828","32265","15785","35601","19058","24264","","",
"Latin America & Caribbean","LCN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138033","615622","1527181","2475357","6154798","8388283","12978925","20011773","27808515","33700979","39176294","46277176","51786998","56674718","61640205","67100000","71500000","76700000","82700000","86800000","97000000","108000000","115000000","120000000","128000000",
"Least developed countries: UN classification","LDC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217048","299629","630473","894974","1120473","1547257","2909190","4906838","7127078","8901679","9990762","11193032","12442892","14000000","16000000","19000000","22000000","23000000",
"Low income","LIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","2300000","2300000","2300000","2600000","3000000","3000000","3000000","3000000","3000000",
"Liechtenstein","LIE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1437","1500","4741","8617","10000","14200","15550","15983","15250","13595","14416","15016","15610","15696","15935","16253","16712","17173","18050","18554","19238","19564","",
"Sri Lanka","LKA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327","592","3417","20450","21000","22895","63263","101922","169600","228316","359000","354000","424357","567601","625917","892184","1220500","1544310","1666320","1781530","2392650","2200400","2013570","",
"Lower middle income","LMC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48400000","56900000","62400000","69200000","75900000","88000000","104000000","118000000","130000000","144000000",
"Low & middle income","LMY","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928730","4782160","13843905","31995184","49900073","71936967","100964628","133140670","169606664","206477109","254466893","288621711","315560091","340684990","432753986","495944019","587717870","619173352","678983202","748864209","832439713","901581012","","",
"Lesotho","LSO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","45","","110","140","400","400","1339","1636","2275","1502","2062","2230","4821","5763","4618","5060","7998","9088","8870","",
"Late-demographic dividend","LTE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143827","833189","4608870","13851798","31723248","47534448","69293663","96093112","124539437","156703747","189222451","230611710","258875194","281816667","301725936","385464311","437059320","521640326","543560449","593475820","639870557","705520735","769017973","","",
"Lithuania","LTU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2427","20000","66790","129051","234081","368715","559036","590103","633779","679321","727699","768861","836200","801863","833298","857761","798769","788743","790419","796761","802373","801133","798115","",
"Luxembourg","LUX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1215","5827","15351","36500","70100","98930","128680","143200","156120","168368","169753","169700","176500","186800","195300","203100","214600","224300","231700","235188","243560","250395","","",
"Latvia","LVA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284","3235","10000","19533","49147","60770","109674","338559","412108","454714","434876","457422","476141","496000","505000","503503","519154","526222","525995","508924","490569","489803","488874","489326","",
"Macao SAR, China","MAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3731","9788","16954","27774","45218","68030","92217","110498","121569","126142","132081","137661","144596","151796","161498","169939","177959","186000","193057","200000","208000","205653","208536","211860","",
"St. Martin (French part)","MAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2712","64660","249138","391857","477360","493228","479503","504499","595207","689541","843940","993451","1147530","1255430","1378870","1552600","1751340","2102430","2271290","2415750","2648110","",
"Monaco","MCO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","2658","4904","6535","7606","9500","11000","12300","13000","13400","13800","15920","16258","16896","17800","18354","18614","19258","19684","20476","20877","21158","21501","21770","",
"Moldova","MDA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","418","597","2429","10395","21792","52806","115227","187665","270756","356324","418519","469367","509195","534393","557403","584330","623135","670530","719001","762333","800057","841018","",
"Madagascar","MDG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1361","2354","3488","4576","5391","6852","31077","37988","24835","23694","26385","25062","27211","30000","32000","30933","32717","38835","",
"Maldives","MDV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","503","717","3260","6274","10405","15359","15380","15553","17638","18059","20351","19842","23175","29309","36534","47395","53169","63685","76518","91193","98507","",
"Middle East, North Africa, Afghanistan & Pakistan","MEA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","388878","857526","","2141398","3116409","4577861","6267066","8075140","9979597","12674252","16127317","16092918","19129367","26900000","29900000","39200000","42800000","44300000","54000000","61000000","67000000","71000000","75000000",
"Mexico","MEX","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15000","50000","231486","428371","1057280","1922350","3020000","4504420","7532630","9641170","10582900","11566100","13077300","12747900","13032500","14757700","15924000","17000500","18358900","19353100","22509400","24610100","26090500","26062400","",
"Marshall Islands","MHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1284","1372","1000","1000","1000","1000","1000","1000","942","942","","",
"Middle income","MIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","928730","4782110","13843634","31992003","49891224","71914519","100876693","133016787","169459603","206209856","254054246","287944782","314458898","339081113","430725244","493662706","585497938","617118529","676411607","745988937","829308024","900352372","","",
"North Macedonia","MKD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12436","36485","100507","181012","232783","258741","281565","312272","338486","354094","364421","381531","396295","427964","454300","475569","498779","515331","534468","",
"Mali","MLI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3085","3200","5272","8244","8019","8482","4320","2909","","3499","21444","15400","120934","142522","243806","145154","178633","","",
"Malta","MLT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1656","9157","17679","22736","37642","51409","52948","83982","98209","113656","125889","128678","135758","143010","151557","163205","171263","181318","191833","202513","213032","221198","229473","236006","",
"Myanmar","MMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","243","3961","6466","9995","23240","22950","21898","","","","32921","89686","111567","129050","485853","688815","893039","1127250","1514830","",
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","MNA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99517","","","1048199","1751360","2606940","3739938","5188037","7266781","9918582","12188141","15016940","16219582","18930022","26342911","29061340","30746369","39000000","43000000","45000000","49000000","52000000",
"Montenegro","MNE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7665","","17852","39749","59329","64665","64712","87768","95721","103863","112394","114848","137426","159029","178781","184176","188286","196025","202835","",
"Mongolia","MNG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","90","500","900","1800","3500","7395","32504","40077","76754","94052","110165","139729","197247","208047","226147","285093","306208","317923","307608","380489","436824","499446","",
"Northern Mariana Islands","MNP","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2201","6367","11135","13748","17323","28374","29438","28852","36985","42570","46599","61641","70142","69975","70000","65495","64589","","",
"Mauritania","MRT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","973","4000","5876","6775","5809","6120","6697","7532","8000","9638","11141","12637","13224","10815","18457","19219","20245","29653","",
"Mauritius","MUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","1184","2564","5398","27895","35132","52511","72875","93922","118235","140800","162400","182000","197400","212600","246000","274700","307200","323200","328900","334300","342700","",
"Malawi","MWI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","138","404","","934","986","1034","1085","1730","1238","8777","8561","5855","8692","10816","11358","11358","12255","13448","14893","16790","",
"Malaysia","MYS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000","19302","110402","252500","483100","751000","1035200","1329300","1553600","2097800","2506700","2920900","2938800","3061000","3063800","2718800","2687800","2696000","2964500","3358800","3734100","4224300","4576500","",
"North America","NAC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","845900","3336286","8480806","15628812","23396549","32257342","42768520","58178837","68305344","80808121","87006258","90322000","95379203","99599579","104203914","108166561","110412731","115400000","119100000","122100000","125200000","129500000","137000000","142000000","144000000","148000000","151000000",
"Namibia","NAM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","198","256","320","477","9435","17610","24053","35740","41212","70408","64343","65779","62852","68960","78778","89323","95125","104303","",
"New Caledonia","NCL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132","700","1668","5146","9600","15601","20315","25455","33121","38196","42767","47900","53600","58300","55371","","","","55000","55000","55000","55624","","",
"Niger","NER","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","212","347","482","617","1000","1500","2114","3669","6400","29954","27188","7707","8650","","11000","12000","","","28153","",
"Nigeria","NGA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","53594","67776","81958","99108","","14279","15045","15740","15688","107931","110834","73965","83360","65313","65917","96806","116867","",
"Nicaragua","NIC","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","1604","2319","4403","5001","10534","19042","27550","43212","78678","73279","85092","101312","131687","111409","116308","177024","210124","192413","217618","290351","299930","337059","370543","",
"Netherlands","NLD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75500","","260000","466200","1170970","1988000","3206000","4100000","5192200","5507000","5805000","6129000","6329000","6498010","6654000","6792000","6851000","7029100","7222770","7289580","7406700","7458570","7525020","7614580","7799940","7827630","",
"Norway","NOR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23297","88541","205307","398758","671666","991349","1244540","1457270","1577430","1668230","1723360","1785680","1857720","1910720","1977130","2050460","2106980","2165220","2205860","2260610","2387660","2430350","2491820","2507780","",
"Nepal","NPL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","963","10957","12000","17078","60177","94656","230618","311457","250602","302705","224184","503206","791961","1031000","1270000","1270000","1435900","","",
"Nauru","NRU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","","","1175","","",
