STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,NETWORK_TYPE,,MEASURE,,NETWORK_ACCESS_MODE,,NETWORK_SPEED,,UNIT_MEASURE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,FRA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2022-Q2,,7.9,,A,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,FRA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2021-Q4,,4.76,,A,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,FRA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2021-Q2,,1.33,,A,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,GBR,,Q,,FBB,,SUB,,FIB,,_Z,,100HB,,2011-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,GBR,,Q,,FBB,,SUB,,FIB,,_Z,,100HB,,2010-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,GBR,,Q,,FBB,,SUB,,FIB,,_Z,,100HB,,2010-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2018-Q2,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q4,,,,O,,0,,2,
DATAFLOW,OECD.STI.DEP:DSD_BB_DATABASE@DF_BB_TEL_DATABASE(2.0),,I,USA,,Q,,MBB,,SUB,,5GS,,_Z,,100HB,,2017-Q2,,,,O,,0,,2,
